M ,Pt_P ,Tt_T ,A_Astar,mft ,mfi 
0.001,1,1,578.704,0.0012,0
0.01,1.0001,1,57.8738,0.0118,0.0005
0.025,1.0004,1.0001,23.1568,0.0296,0.0031
0.05,1.0018,1.0005,11.5914,0.0591,0.0122
0.1,1.007,1.002,5.8218,0.1176,0.0478
0.15,1.0158,1.0045,3.9103,0.1751,0.1041
0.2,1.0283,1.008,2.9635,0.2311,0.1772
0.25,1.0444,1.0125,2.4027,0.285,0.2622
0.3,1.0644,1.018,2.0351,0.3365,0.3541
0.35,1.0884,1.0245,1.778,0.3851,0.4481
0.4,1.1166,1.032,1.5901,0.4306,0.54
0.45,1.1491,1.0405,1.4487,0.4727,0.6267
0.5,1.1862,1.05,1.3398,0.5111,0.7058
0.55,1.2283,1.0605,1.2549,0.5456,0.7757
0.6,1.2755,1.072,1.1882,0.5763,0.836
0.65,1.3283,1.0845,1.1356,0.603,0.8864
0.7,1.3871,1.098,1.0944,0.6257,0.9274
0.75,1.4523,1.1125,1.0624,0.6445,0.9597
0.8,1.5243,1.128,1.0382,0.6595,0.984
0.85,1.6038,1.1445,1.0207,0.6709,1.0014
0.9,1.6913,1.162,1.0089,0.6787,1.0127
0.95,1.7874,1.1805,1.0021,0.6833,1.0189
1,1.8929,1.2,1,0.6847,1.0208
1.05,2.0085,1.2205,1.002,0.6833,1.0192
1.1,2.1351,1.242,1.0079,0.6793,1.0146
1.15,2.2736,1.2645,1.0175,0.673,1.0078
1.2,2.425,1.288,1.0304,0.6645,0.9991
1.25,2.5903,1.3125,1.0468,0.6541,0.989
1.3,2.7707,1.338,1.0663,0.6422,0.9779
1.35,2.9676,1.3645,1.089,0.6287,0.9661
1.4,3.1823,1.392,1.1149,0.6141,0.9537
1.45,3.4162,1.4205,1.144,0.5986,0.941
1.5,3.671,1.45,1.1762,0.5822,0.9282
1.6,4.2504,1.512,1.2502,0.5477,0.9026
1.7,4.936,1.578,1.3376,0.5119,0.8776
1.8,5.7458,1.648,1.439,0.4758,0.8537
1.9,6.7006,1.722,1.5553,0.4403,0.8311
2,7.8244,1.8,1.6875,0.4058,0.8099
2.1,9.1447,1.882,1.8369,0.3728,0.7902
2.2,10.693,1.968,2.005,0.3415,0.7719
2.3,12.504,2.058,2.1931,0.3122,0.755
2.4,14.62,2.152,2.4031,0.2849,0.7393
2.5,17.086,2.25,2.6367,0.2597,0.7249
2.6,19.954,2.352,2.896,0.2364,0.7115
2.7,23.283,2.458,3.183,0.2151,0.6992
2.8,27.138,2.568,3.5001,0.1956,0.6878
2.9,31.594,2.682,3.8498,0.1779,0.6773
3,36.733,2.8,4.2346,0.1617,0.6676
3.1,42.646,2.922,4.6573,0.147,0.6586
3.2,49.437,3.048,5.121,0.1337,0.6503
3.3,57.219,3.178,5.6286,0.1217,0.6425
3.4,66.117,3.312,6.1837,0.1107,0.6353
3.5,76.272,3.45,6.7896,0.1008,0.6286
3.6,87.837,3.592,7.4501,0.0919,0.6224
3.7,100.98,3.738,8.1691,0.0838,0.6166
3.8,115.89,3.888,8.9506,0.0765,0.6112
3.9,132.77,4.042,9.799,0.0699,0.6061
4,151.84,4.2,10.7188,0.0639,0.6014
4.1,173.34,4.362,11.7147,0.0585,0.5969
4.2,197.55,4.528,12.7916,0.0535,0.5927
4.3,224.75,4.698,13.9549,0.0491,0.5888
4.4,255.26,4.872,15.2099,0.045,0.5852
4.5,289.41,5.05,16.5622,0.0413,0.5817
4.6,327.59,5.232,18.0178,0.038,0.5784
4.7,370.2,5.418,19.5828,0.035,0.5754
4.8,417.66,5.608,21.2637,0.0322,0.5725
4.9,470.46,5.802,23.0671,0.0297,0.5697
5,529.09,6,25,0.0274,0.5671