h,t,g,p,rho,mu
-1000,294.65,9.81,113900,1.347,0.00001821
0,288.15,9.807,101300,1.225,0.00001789
1000,281.65,9.804,89880,1.112,0.00001758
2000,275.15,9.801,79500,1.007,0.00001726
3000,268.66,9.797,70120,0.9093,0.00001694
4000,262.17,9.794,61660,0.8194,0.00001661
5000,255.68,9.791,54050,0.7364,0.00001628
6000,249.19,9.788,47220,0.6601,0.00001595
7000,242.7,9.785,41110,0.59,0.00001561
8000,236.21,9.782,35650,0.5258,0.00001527
9000,229.73,9.779,30800,0.4671,0.00001493
10000,223.25,9.776,26500,0.4135,0.00001458
15000,216.65,9.761,12110,0.1948,0.00001422
20000,216.65,9.745,5529,0.08891,0.00001422
25000,221.55,9.73,2549,0.04008,0.00001448
30000,226.51,9.715,1197,0.01841,0.00001475
40000,250.35,9.684,287,0.003996,0.00001601
50000,270.65,9.654,79.78,0.001027,0.00001704
60000,247.02,9.624,21.96,0.0003097,0.00001584
70000,219.58,9.594,5.2,0.00008283,0.00001438
80000,198.64,9.564,1.1,0.00001846,0.00001321